Correct Word,Incorrect Word
Surrender,Surrende#
Surrender,Surre?der
Surrender,Surr?nder
Surrender,S&rrender
Surrender,Surren&er
Original,Or&ginal
Original,Origina&
Original,Ori-inal
Original,Origina%
Original,?riginal
Port,+ort
Port,Po!t
Port,Po$t
Port,Por!
Port,P&rt
Loading,Lo#ding
Loading,L*ading
Loading,Load#ng
Loading,Load+ng
Loading,Loadin&
Discharge,Di*charge
Discharge,Disc=arge
Discharge,Dis-harge
Discharge,Disc-arge
Discharge,Dischar%e
Freight,&reight
Freight,F!eight
Freight,F*eight
Freight,Freigh=
Freight,Freig=t
Consignee,Co*signee
Consignee,Cons#gnee
Consignee,Consi!nee
Consignee,Co*signee
Consignee,Con&ignee
Notify,Not%fy
Notify,Not%fy
Notify,N&tify
Notify,Noti=y
Notify,&otify
Shipper,Shippe@
Shipper,Ship$er
Shipper,+hipper
Shipper,S%ipper
Shipper,Shi%per
Carrier,Ca$rier
Carrier,?arrier
Carrier,C#rrier
Carrier,Carri$r
Carrier,Car#ier
Vessel,V%ssel
Vessel,Ves#el
Vessel,Vesse+
Vessel,V+ssel
Vessel,Ve#sel
Voyage,#oyage
Voyage,Voyag@
Voyage,Vo#age
Voyage,Voyag-
Voyage,V$yage
Manifest,Man!fest
Manifest,!anifest
Manifest,Manif$st
Manifest,M&nifest
Manifest,Manife&t
Customs,Custom+
Customs,Cust&ms
Customs,Cus-oms
Customs,C$stoms
Customs,+ustoms
Transit,Tran=it
Transit,Trans@t
Transit,Transi+
Transit,Trans+t
Transit,Transi?
Container,C*ntainer
Container,Con=ainer
Container,Cont!iner
Container,Containe?
Container,Con=ainer
Bill,Bil$
Bill,Bil?
Bill,?ill
Bill,Bil&
Bill,B@ll
Lading,La*ing
Lading,L$ding
Lading,Ladi%g
Lading,@ading
Lading,*ading
Seal,Se#l
Seal,%eal
Seal,Sea+
Seal,S+al
Seal,%eal
Weight,$eight
Weight,Wei*ht
Weight,We*ght
Weight,$eight
Weight,Weig@t
Measure,$easure
Measure,$easure
Measure,=easure
Measure,M!asure
Measure,!easure
Cargo,C%rgo
Cargo,?argo
Cargo,#argo
Cargo,Car-o
Cargo,C-rgo
Exporter,Exp*rter
Exporter,Ex?orter
Exporter,Expo$ter
Exporter,Ex%orter
Exporter,Exp?rter
Importer,Importe#
Importer,Impo+ter
Importer,?mporter
Importer,Impor$er
Importer,I+porter
Warehouse,Wa%ehouse
Warehouse,Ware!ouse
Warehouse,Wareho$se
Warehouse,War-house
Warehouse,Wareho&se
Logistics,!ogistics
Logistics,L@gistics
Logistics,Logis$ics
Logistics,Lo&istics
Logistics,Logi!tics
Shipment,Ship!ent
Shipment,Shipm$nt
Shipment,Sh#pment
Shipment,Shipme-t
Shipment,Shipm*nt
Invoice,Invoi@e
Invoice,Invo!ce
Invoice,I&voice
Invoice,I?voice
Invoice,Inv-ice
Packing,Pa$king
Packing,Packi+g
Packing,Packi$g
Packing,+acking
Packing,P?cking
List,Lis*
List,!ist
List,L#st
List,Li&t
List,Lis$
Terms,*erms
Terms,+erms
Terms,T-rms
Terms,?erms
Terms,T#rms
Conditions,Cond*tions
