Correct Word,Incorrect Word
Surrender,Su&render
Surrender,Surernder
Surrender,Surren*er
Surrender,Surrender
Surrender,Surrend?r
Surrender,Surredner
Original,Or-ginal
Original,Oirginal
Original,Origina%
Original,Orgiinal
Original,$riginal
Original,Orignial
Port,Por!
Port,Potr
Port,P*rt
Port,Prot
Port,Po!t
Port,Potr
Loading,Loadin$
Loading,Loadign
Loading,Loadin=
Loading,Loadnig
Loading,Loadi+g
Loading,Laoding
Discharge,D&scharge
Discharge,Dishcarge
Discharge,Discha&ge
Discharge,Dsicharge
Discharge,Disc#arge
Discharge,iDscharge
Freight,+reight
Freight,Feright
Freight,Fr+ight
Freight,Freihgt
Freight,Fr-ight
Freight,Feright
Consignee,Consign=e
Consignee,Cnosignee
Consignee,Co@signee
Consignee,Cosnignee
Consignee,Consigne*
Consignee,Conisgnee
Notify,N+tify
Notify,Notfiy
Notify,Noti!y
Notify,Notfiy
Notify,Notif-
Notify,oNtify
Shipper,Shi+per
Shipper,Shipper
Shipper,Shippe?
Shipper,hSipper
Shipper,Shi?per
Shipper,Shpiper
Carrier,Carr-er
Carrier,Carirer
Carrier,C-rrier
Carrier,Carirer
Carrier,C%rrier
Carrier,aCrrier
Vessel,@essel
Vessel,Vsesel
Vessel,Ve?sel
Vessel,Vesesl
Vessel,*essel
Vessel,Vessle
Voyage,Voya!e
Voyage,oVyage
Voyage,Vo+age
Voyage,Vyoage
Voyage,*oyage
Voyage,Voayge
Manifest,Man!fest
Manifest,Mainfest
Manifest,Man@fest
Manifest,Manfiest
Manifest,Ma$ifest
Manifest,aMnifest
Customs,=ustoms
Customs,Cutsoms
Customs,Cus*oms
Customs,uCstoms
Customs,Custo&s
Customs,Custosm
Transit,Transi!
Transit,Trasnit
Transit,Trans@t
Transit,Transti
Transit,Tra&sit
Transit,Trasnit
Container,?ontainer
Container,Contanier
Container,Con*ainer
Container,Conatiner
Container,Co=tainer
Container,Cotnainer
Bill,Bi?l
Bill,Blil
Bill,Bi&l
Bill,Blil
Bill,=ill
Bill,Bill
Lading,Ladi+g
Lading,Ldaing
Lading,%ading
Lading,Ladnig
Lading,L&ding
Lading,aLding
Seal,Sea+
Seal,Sela
Seal,Se?l
Seal,Sela
Seal,?eal
Seal,Sael
Weight,Weig!t
Weight,Weihgt
Weight,We=ght
Weight,eWight
Weight,Wei*ht
Weight,Weigth
Measure,M@asure
Measure,Meausre
Measure,@easure
Measure,Mesaure
Measure,M#asure
Measure,eMasure
Cargo,Carg!
Cargo,Crago
Cargo,Ca$go
Cargo,Cagro
Cargo,Ca=go
Cargo,Crago
Exporter,E%porter
Exporter,Exproter
Exporter,%xporter
Exporter,Epxorter
Exporter,Expo&ter
Exporter,Exproter
Importer,Impo#ter
Importer,Ipmorter
Importer,Impo&ter
Importer,Improter
Importer,Imp+rter
Importer,Imporetr
Warehouse,Wareho#se
Warehouse,Warehosue
Warehouse,Ware?ouse
Warehouse,aWrehouse
Warehouse,Wareh#use
Warehouse,Warehoues
Logistics,Logis&ics
Logistics,Logistisc
Logistics,?ogistics
Logistics,Logisitcs
Logistics,L+gistics
Logistics,Logitsics
Shipment,Shipme@t
Shipment,hSipment
Shipment,Shipme*t
Shipment,Shpiment
Shipment,S#ipment
Shipment,Sihpment
Invoice,Invoic?
Invoice,Invoiec
Invoice,Invoi?e
Invoice,Ivnoice
Invoice,Invoi$e
Invoice,Invoiec
Packing,#acking
Packing,Packign
Packing,*acking
Packing,Pakcing
Packing,Pac=ing
Packing,Pakcing
List,=ist
List,Lsit
List,L+st
List,iLst
List,Lis-
List,Lits
Terms,@erms
Terms,eTrms
Terms,Te-ms
Terms,Temrs
Terms,Te+ms
Terms,Trems
Conditions,Co$ditions
Conditions,Cnoditions
Conditions,Conditio+s
Conditions,oCnditions
Conditions,&onditions
Conditions,Conidtions
Documentation,Document@tion
Documentation,oDcumentation
Documentation,Docum-ntation
Documentation,Documentatoin
Documentation,Documentat+on
Documentation,Documnetation
Delivery,Delive@y
Delivery,Delievry
Delivery,Deli!ery
Delivery,Dleivery
Delivery,Delive@y
Delivery,Delivrey
Receipt,Recei&t
Receipt,Reecipt
Receipt,R?ceipt
Receipt,Reciept
Receipt,R!ceipt
Receipt,Reecipt
Handling,Ha+dling
Handling,Hanlding
Handling,Ha#dling
Handling,Handlnig
Handling,Handlin?
Handling,Hadnling
Charges,Charg%s
Charges,Charegs
Charges,Char#es
Charges,hCarges
Charges,Charg$s
Charges,Charegs
Insurance,I-surance
Insurance,Insurnace
Insurance,I=surance
Insurance,Isnurance
Insurance,I?surance
Insurance,Insuracne
Liability,Liab?lity
Liability,Libaility
Liability,Liabili+y
Liability,Liaiblity
Liability,Liabilit?
Liability,Liabiliyt
Incoterms,Inco&erms
Incoterms,Incotersm
Incoterms,Incoter$s
Incoterms,Incotrems
Incoterms,Incote@ms
Incoterms,Incoetrms
Duties,Duti@s
Duties,Duites
Duties,Duti&s
Duties,Dtuies
Duties,?uties
Duties,Dtuies
Taxes,Tax!s
Taxes,Taexs
Taxes,Tax%s
Taxes,Taexs
Taxes,Taxe$
Taxes,Txaes
Clearance,Cleara%ce
Clearance,Clearnace
Clearance,+learance
Clearance,Clearanec
Clearance,Clea@ance
Clearance,Claerance
Broker,Broke!
Broker,rBoker
Broker,B#oker
Broker,Borker
Broker,Broke%
Broker,Brkoer
Authority,Au$hority
Authority,Authortiy
Authority,Author+ty
Authority,Authortiy
Authority,Au?hority
Authority,Authortiy
Regulations,R-gulations
Regulations,Regulaitons
Regulations,Regu!ations
Regulations,Regluations
Regulations,R=gulations
Regulations,eRgulations
Declarations,Declarati#ns
Declarations,Declraations
Declarations,Declaratio-s
Declarations,Declraations
Declarations,Declarat@ons
Declarations,Declaartions
Consignment,Consign+ent
Consignment,Conisgnment
Consignment,Consign-ent
Consignment,oCnsignment
Consignment,Con+ignment
Consignment,Consingment
Agreement,Agreemen#
Agreement,Agreemetn
Agreement,Agreem#nt
Agreement,Agreemnet
Agreement,Ag-eement
Agreement,Agerement
Schedule,$chedule
Schedule,Shcedule
Schedule,S-hedule
Schedule,Scehdule
Schedule,!chedule
Schedule,Scehdule
Origin,Orig%n
Origin,Oriign
Origin,Orig*n
Origin,Orgiin
Origin,&rigin
Origin,Origni
Destination,Destinat#on
Destination,eDstination
Destination,Desti+ation
Destination,Dsetination
Destination,Destinatio@
Destination,Desitnation
Routing,Routi#g
Routing,Ruoting
Routing,Rou-ing
Routing,Rotuing
Routing,Rout$ng
Routing,Rotuing
Handover,Hando=er
Handover,Handoevr
Handover,Handov%r
Handover,Handoevr
Handover,?andover
Handover,Handovre
Acceptance,Acc+ptance
Acceptance,Acceptance
Acceptance,Accepta?ce
Acceptance,Accetpance
Acceptance,Accepta=ce
Acceptance,Accetpance
Dock,D$ck
Dock,oDck
Dock,!ock
Dock,Dokc
Dock,@ock
Dock,Dokc
Harbor,H!rbor
Harbor,Harbro
Harbor,Harb?r
Harbor,Hrabor
Harbor,Har!or
Harbor,aHrbor
Maritime,Mar=time
Maritime,Mairtime
Maritime,Mariti&e
Maritime,Maritiem
Maritime,Ma$itime
Maritime,Maritiem
Navigation,#avigation
Navigation,Naivgation
Navigation,Navig$tion
Navigation,Naviagtion
Navigation,Navi%ation
Navigation,aNvigation
Permit,Pe&mit
Permit,Pemrit
Permit,Permi%
Permit,Pemrit
Permit,P+rmit
Permit,Permti
Approval,App#oval
Approval,Approavl
Approval,Appro!al
Approval,Aprpoval
Approval,Ap*roval
Approval,Approavl
Endorsement,Endorseme?t
Endorsement,Endorseemnt
Endorsement,End-rsement
Endorsement,nEdorsement
Endorsement,Endorsem@nt
Endorsement,nEdorsement
Registry,Regi$try
Registry,Registyr
Registry,Registr#
Registry,Registyr
Registry,Regis?ry
Registry,Reigstry
Bonded,Bon=ed
Bonded,oBnded
Bonded,Bon+ed
Bonded,Bodned
Bonded,Bonde%
Bonded,Bonedd
Warehouse,Ware=ouse
Warehouse,Waerhouse
Warehouse,W+rehouse
Warehouse,Warehoues
Warehouse,Wareh$use
Warehouse,Wareohuse
Non-negotiable,Non-negotia!le
Non-negotiable,Non-negotiabel
Non-negotiable,Non-negot?able
Non-negotiable,Non-ngeotiable
Non-negotiable,No?-negotiable
Non-negotiable,Non-ngeotiable
Negotiable,Negotia$le
Negotiable,Negtoiable
Negotiable,Ne%otiable
Negotiable,Neogtiable
Negotiable,@egotiable
Negotiable,Negotaible
Endorsement,Endorseme=t
Endorsement,Ednorsement
Endorsement,Endors@ment
Endorsement,Endrosement
Endorsement,#ndorsement
Endorsement,Endosrement
Waybill,W&ybill
Waybill,aWybill
Waybill,=aybill
Waybill,Waybill
Waybill,-aybill
Waybill,Wayibll
Airway,Ai%way
Airway,Airwya
Airway,Air=ay
Airway,iArway
Airway,Air&ay
Airway,iArway
Railway,Rail!ay
Railway,Railawy
Railway,Ra=lway
Railway,Raliway
Railway,Ra-lway
Railway,Rialway
Haulage,=aulage
