Correct Word,Incorrect Word
Net,aet
Copy,Co=y
Invoice,Inxoice
Number,N#mber
Notify,gotify
Carrier,Carr=er
Consignee,Consignes
Packages,Packiges
Weight,xeight
Number,Numbei
Weight,W=ight
Marks,Maqks
Container,+ontainer
Exporter,Exportex
Seal,heal
Container,Conxainer
Bill,Bile
Seal,Skal
Freight,Frepoht
Net,Nqt
Weight,Weigdt
Delivery,Deli%ery
Weight,ceitdt
Notify,*otify
Number,gumqer
Vessel,Ves*el
Document,Documunt
Bill,Bi=l
Port,Potq
Exporter,Exporqer
Number,Numter
Original,Originam
Delivery,Delive+y
Gross,nrozs
Container,iontainer
Container,C#ntainer
Notify,Nepify
Shipper,Shipp+r
Document,%ocument
Cargo,Carao
Exporter,Export+r
Cargo,Clrgo
Net,Nee
Bill,Bil#
Notify,+otifh
Shipper,Sh%pper
Packages,Pa*kages
Date,Da%e
Destination,Destinativn
Carrier,Cbnrier
Exporter,Expo+ter
Document,Docum=nt
Shipper,Shixper
Freight,Fqei+it
Goods,G=ods
Reference,Refe*ence
Carrier,oarrier
Date,Daxe
Carrier,C#rrier
Cargo,facgo
Packages,Pa%kages
Date,Dad#
Signature,Skgnature
Destination,Destiiation
Description,zescri%timn
Destination,Dest=najxon
Importer,Imoorter
Packages,Packagec
Number,N=mber
Marks,Ma#*s
Notify,Nouify
Shipper,Shippe%
Importer,Importer
Importer,Impopter
Marks,Marls
Original,Ociginal
Seal,Stgl
Net,Ne%
Original,Ori=inal
Cargo,Cer%o
Carrier,Carrheb
Notify,cotifu
Document,yocument
Bill,Bqll
Shipper,S=ipper
Copy,Cope
Port,yspt
Reference,Referenje
Number,Numbe#
Marks,earks
Invoice,Igvjice
Goods,Goo#s
Bill,Bil#
Goods,Goeds
Document,Documeot
Port,Po#t
Invoice,%nvoice
Signature,Sigscture
Description,Descrip%ion
Original,Oniginal
Container,Containeb
Date,Dawe
Date,cn+e
Carrier,Ca=rier
Original,mriginal
Delivery,Delivehy
Signature,Si#nature
Vessel,Vesseq
Importer,Imporyea
Vessel,Vess*l
Consignee,Consiqnee
Freight,Frpighv
Container,bmntainer
Marks,o%rks
Packages,Packdges
Reference,Refer*nce
Destination,Demtination
Net,akt
Net,iet
Date,Da%e
Net,N#t
Weight,Weikht
Vessel,Vedxel
Destination,Destinatkon
Destination,Destinetion
Measure,Measvre
Weight,Wzight
Notify,yo=ify
Vessel,Ve#sgl
Cargo,Cargq
Importer,Impo+ter
Number,Nu+ber
Seal,Sea#
Exporter,Exportez
Destination,Destinatio+
Carrier,oanridr
Original,Orijinal
Marks,ia+ks
Freight,Freivht
Marks,earkf
Freight,=reight
Notify,N%tify
Vessel,Vbssel
Container,Conrai#e%
Destination,Dest#nation
Document,Doiu*ent
Invoice,Invoicf
Measure,Measule
Importer,Iaporter
Destination,Dlstination
Document,locument
Net,Ne+
Measure,%easure
Consignee,C+nsignee
Weight,Weikht
Goods,soods
Bill,mblp
Goods,Golds
Copy,C+py
Number,N#mber
Signature,Sihnature
Port,port
Importer,Irporteg
Vessel,fessel
Measure,M*asure
Invoice,I%voice
Goods,Gools
Number,Numb+r
Reference,Re%erence
Cargo,Cosge
Port,Poct
Freight,zreight
Signature,Signa=ure
Reference,Refelence
Marks,Merks
Importer,Igporter
Destination,Desti=ation
Date,Datd
Description,Doccription
Carrier,Cauuier
Port,iort
Carrier,Carfier
